Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
3706,0.59,Ideal,F,VS2,62.9,55.0,5.39,5.32,3.37,1743
485,1.11,Ideal,J,VS2,61.7,54.0,6.64,6.69,4.11,5051
5613,0.71,Good,F,VS2,63.0,59.0,5.59,5.65,3.54,2320
7989,1.64,Very Good,F,SI2,63.2,57.0,7.56,7.47,4.75,8357
8952,1.01,Very Good,F,VS2,59.9,61.0,6.46,6.5,3.88,5988
22886,0.55,Ideal,H,SI2,61.4,55.0,5.27,5.29,3.24,959
10547,0.32,Ideal,D,VVS2,60.6,56.0,4.47,4.5,2.72,1066
2773,1.3,Ideal,H,VS2,62.9,56.0,7.0,6.96,4.39,5387
9015,0.51,Ideal,G,VVS1,60.8,56.0,5.21,5.22,3.17,1839
10847,0.7,Good,E,SI2,56.9,61.0,5.85,5.9,3.34,1793
14824,0.39,Premium,G,VS1,62.4,57.0,4.68,4.62,2.9,1097
26942,0.35,Ideal,I,VS2,61.4,55.0,4.54,4.58,2.8,509
7073,1.02,Premium,F,VS1,60.5,56.0,6.61,6.52,3.97,7197
25230,0.35,Very Good,D,SI2,63.3,55.0,4.49,4.45,2.83,669
20026,1.5,Premium,F,SI2,60.8,59.0,7.36,7.3,4.46,9408
23698,0.32,Ideal,F,SI1,61.0,55.0,4.45,4.47,2.72,648
21913,0.47,Ideal,E,VVS2,61.6,56.0,4.97,5.01,3.07,2113
14005,0.53,Good,E,SI2,63.0,60.0,5.11,5.14,3.23,1127
15949,0.35,Ideal,F,VS2,61.5,57.0,4.52,4.56,2.79,706
24950,1.09,Premium,G,SI2,61.1,59.0,6.69,6.63,4.07,4794
16567,1.21,Premium,I,SI1,62.0,56.0,6.89,6.83,4.25,5285
3324,0.4,Good,F,VS2,62.2,61.0,4.71,4.74,2.94,784
732,0.83,Ideal,D,SI1,61.5,53.0,6.09,6.07,3.74,3933
20356,0.52,Ideal,G,VVS2,62.3,55.0,5.12,5.16,3.2,1911
24308,1.16,Premium,F,VS2,60.5,59.0,6.86,6.8,4.13,5781
2285,1.09,Good,F,SI1,61.0,64.0,6.63,6.58,4.03,4230
20399,1.0,Premium,F,VS2,62.6,60.0,6.29,6.37,3.96,6352
22882,0.3,Premium,E,VVS2,60.8,60.0,4.31,4.27,2.61,1013
6561,1.02,Ideal,G,VS2,60.6,56.0,6.56,6.52,3.96,6333
12375,1.69,Premium,F,SI2,62.4,58.0,7.65,7.57,4.75,9275
5329,1.02,Very Good,D,SI2,62.7,59.0,6.36,6.44,4.01,4712
8441,1.18,Premium,H,SI2,58.7,60.0,7.01,6.93,4.09,4956
8601,1.01,Premium,F,SI1,60.6,59.0,6.52,6.49,3.94,5345
25621,0.31,Ideal,E,VS1,61.6,56.0,4.35,4.38,2.69,734
21202,0.42,Ideal,I,VVS2,61.2,57.0,4.83,4.87,2.97,1299
14008,1.2,Very Good,F,VS2,62.4,58.0,6.76,6.8,4.23,7114
23053,0.42,Premium,D,SI1,61.9,59.0,4.76,4.81,2.96,810
2118,0.31,Ideal,I,IF,62.2,54.0,4.39,4.36,2.72,837
10916,1.2,Ideal,G,VS1,62.3,56.0,6.77,6.82,4.23,8442
429,1.02,Fair,D,SI1,70.6,57.0,6.08,6.01,4.27,4398
19131,0.33,Ideal,G,VVS2,61.7,55.0,4.46,4.42,2.74,965
14693,0.9,Very Good,J,SI1,63.4,54.0,6.17,6.14,3.9,2834
22193,1.23,Very Good,D,SI1,62.3,57.0,6.8,6.87,4.26,8079
15956,0.39,Ideal,F,VS1,61.9,55.2,4.66,4.7,2.89,939
14910,0.51,Ideal,E,VVS1,62.3,53.7,5.1,5.12,3.19,2524
12362,0.31,Ideal,D,SI1,62.6,57.0,4.32,4.3,2.7,732
13092,1.52,Premium,J,VS1,62.4,59.0,7.31,7.36,4.58,8110
22856,0.6,Good,F,VS2,58.8,60.7,5.52,5.55,3.25,1940
23360,0.7,Very Good,H,SI1,,56.0,5.72,5.76,3.51,2548
18806,1.5,Ideal,G,VS2,62.5,55.0,7.26,7.23,4.53,12787
4659,0.4,Very Good,G,VS1,61.5,58.0,4.72,4.74,2.91,868
25440,0.3,Very Good,G,VS1,62.5,59.0,4.32,4.25,2.68,629
22335,0.23,Ideal,F,VS2,60.9,57.0,3.96,3.99,2.42,498
19361,0.32,Premium,E,SI2,61.2,58.0,4.39,4.44,2.7,449
22796,0.41,Premium,F,VVS2,62.4,58.0,4.7,4.76,2.95,1115
12584,1.7,Ideal,H,VS2,62.4,57.0,7.61,7.56,4.73,13681
21635,0.3,Ideal,E,VS1,60.7,57.0,4.36,4.31,2.63,911
9956,1.08,Ideal,H,SI2,60.4,57.0,6.63,6.68,4.02,4455
13225,1.19,Premium,H,SI2,61.9,58.0,6.84,6.77,4.21,4332
18480,0.23,Ideal,E,VS1,61.9,55.0,3.94,3.98,2.45,586
3387,0.29,Premium,G,VS1,62.1,59.0,4.25,4.22,2.63,547
18361,0.9,Very Good,D,SI1,63.0,58.0,6.11,6.14,3.86,4523
610,1.52,Good,G,SI1,64.4,59.0,7.18,7.25,4.65,9368
19028,1.0,Good,J,VVS2,63.7,57.0,6.34,6.31,4.03,3265
8404,0.3,Ideal,E,VVS2,62.4,54.0,4.31,4.34,2.7,742
23180,0.3,Ideal,I,VS2,61.4,58.0,4.29,4.31,2.64,438
4930,0.9,Ideal,D,SI1,62.1,57.0,6.18,6.25,3.86,4523
18647,0.3,Ideal,F,VVS1,62.2,56.0,4.28,4.3,2.67,814
3652,0.33,Ideal,E,VS1,59.6,56.0,4.49,4.54,2.69,781
